Ch1 Amplitude,Ch2 Amplitude,Cluster
438.8899,461.435547,1
528.9744,506.112976,1
561.769165,567.5646,1
612.8399,581.4796,1
628.239136,496.44458,1
645.7065,506.07724,1
646.576233,544.069946,1
658.9451,539.0331,1
667.6659,538.3287,1
683.2053,638.6978,1
703.872,751.7129,1
710.664734,673.434937,1
711.593567,553.3551,1
754.996643,690.461853,1
768.631653,610.1251,1
858.3321,594.5946,1
874.1261,933.4002,1
896.161743,795.8233,1
904.845947,809.481,1
907.468445,723.9007,1
925.289856,963.2541,1
955.6165,833.498962,1
969.9764,796.5041,1
1004.53925,1475.68494,1
1008.51782,863.4521,1
1016.78784,944.8109,1
1028.63086,790.2612,1
1067.93225,746.4035,1
1095.45117,907.605957,1
1152.83142,1030.18,1
1164.11792,813.6035,1
1173.20972,2347.99341,4
1182.92041,871.2395,1
1224.79736,1152.02625,1
1268.97253,1054.32446,1
1291.34424,1647.77954,1
1314.01575,1596.30542,1
1344.66333,1635.71265,1
1354.45374,1635.35217,1
1375.0979,1570.34619,1
1379.6366,1578.64319,1
1398.3396,1421.27356,1
1400.55164,1512.60046,1
1401.21436,1591.44141,1
1404.55139,1585.40991,1
1406.07471,1727.18433,1
1410.83325,1375.23608,1
1418.56531,1448.11218,1
1420.51587,1477.43408,1
1421.02063,1475.139,1
1427.8125,1592.9967,1
1430.88074,1525.74817,1
1439.95654,1626.68591,1
1444.19116,1328.62134,1
1447.27185,1432.93433,1
1450.475,1616.22437,1
1451.28369,1398.24084,1
1452.482,1435.24548,1
1457.01709,1594.858,1
1457.95325,2937.84717,4
1458.1073,1448.77661,1
1458.27588,1542.80786,1
1459.669,1534.11511,1
1459.74231,1549.75024,1
1463.9248,1470.77686,1
1464.02588,1474.07275,1
1465.692,1610.84277,1
1466.49268,1582.56372,1
1468.41492,1535.40515,1
1472.97,1575.33752,1
1473.82056,1520.01172,1
1475.68066,1558.39246,1
1476.22119,1546.44971,1
1478.86426,1513.03625,1
1479.36646,1529.14758,1
1484.33008,1553.18542,1
1485.0343,1525.7583,1
1487.23914,1459.39087,1
1487.94165,1409.40991,1
1488.17627,1672.84912,1
1489.13586,1658.08972,1
1492.40112,1545.29163,1
1492.835,1545.88562,1
1494.8136,1536.91113,1
1496.09363,1594.40344,1
1496.611,1476.202,1
1500.9187,1442.308,1
1501.91809,1619.00439,1
1503.65674,1471.58081,1
1504.887,1627.46057,1
1506.655,1407.96008,1
1507.8689,1503.36316,1
1508.00745,1348.571,1
1508.81323,1447.797,1
1508.92139,1449.64014,1
1509.265,1495.51172,1
1509.54285,1360.2218,1
1510.21985,1412.7262,1
1510.34021,1551.86987,1
1511.9436,1518.48987,1
1512.0061,1443.33728,1
1512.243,1585.97009,1
1512.25732,1471.43091,1
1512.29065,1461.61951,1
1514.52441,1515.90894,1
1515.10254,1544.28809,1
1515.95715,1579.12183,1
1516.39319,1479.84839,1
1516.50952,1805.44177,1
1516.86377,1494.25366,1
1517.30566,3051.96362,4
1517.94434,1461.4967,1
1518.26184,1565.62561,1
1518.9519,1483.33655,1
1519.28467,1510.65845,1
1519.93982,1467.93,1
1521.46069,1537.00916,1
1522.69434,1539.415,1
1522.70715,1592.45447,1
1523.44727,1413.85889,1
1526.25317,1571.03479,1
1526.41125,1490.20337,1
1526.50146,1500.13953,1
1526.517,1547.75879,1
1526.51855,1549.17578,1
1527.115,1418.3092,1
1527.86023,1374.70544,1
1527.89893,1464.87793,1
1528.05835,1511.83594,1
1528.92908,1497.89661,1
1530.2605,1465.09375,1
1530.50647,1484.90674,1
1531.0636,1481.65247,1
1531.265,1611.43579,1
1532.27393,1469.44336,1
1532.55859,1461.60144,1
1532.70007,1502.86218,1
1532.93213,1547.15344,1
1533.001,1566.71826,1
1533.07007,1522.50818,1
1533.2749,1492.3927,1
1533.59253,1527.06189,1
1533.60547,1547.24451,1
1534.30017,1584.415,1
1535.15393,1494.01855,1
1535.20007,1526.75476,1
1535.44,1496.208,1
1535.59058,1485.62537,1
1535.85657,1471.67151,1
1536.11,1432.91333,1
1536.53613,1526.24109,1
1536.57593,1425.48645,1
1536.96216,1522.88513,1
1537.698,1463.11755,1
1538.0553,1546.52466,1
1538.6449,1513.93262,1
1539.1626,1537.00635,1
1539.48987,1478.19861,1
1539.96362,1605.90881,1
1540.43616,1401.97949,1
1540.47888,1600.68359,1
1540.56958,1510.18384,1
1540.64917,1285.93823,1
1540.78015,1486.26331,1
1540.85266,1566.92017,1
1540.87659,1613.5321,1
1541.2085,1564.80212,1
1541.42371,1506.04077,1
1541.70911,1512.9137,1
1541.94141,1441.37012,1
1542.78333,1556.24292,1
1542.906,1553.25488,1
1543.219,1508.98352,1
1543.21985,1514.8042,1
1543.62927,1456.30115,1
1543.65454,1601.864,1
1543.70081,1488.75073,1
1544.41357,1439.97046,1
1544.83081,1520.83826,1
1544.96753,1484.45508,1
1545.18616,1508.82141,1
1545.27185,1552.01416,1
1545.36719,1518.05432,1
1546.08411,1532.422,1
1546.57056,1461.75732,1
1546.85876,1357.40344,1
1547.28833,1510.4491,1
1547.53906,1480.07043,1
1547.69849,1665.52515,1
1548.1,1502.81616,1
1548.39539,1581.22571,1
1549.04138,1485.66711,1
1549.25708,1448.84021,1
1549.64014,1605.15137,1
1549.65637,1525.51453,1
1549.70435,1451.58081,1
1549.72742,1483.214,1
1549.81262,1538.04358,1
1550.28613,1561.92017,1
1550.49463,1559.46057,1
1550.50122,1470.46252,1
1550.54675,1520.5769,1
1550.64319,1454.523,1
1551.55762,1516.27515,1
1551.62329,1558.18677,1
1551.64209,1470.947,1
1551.805,1479.82446,1
1551.98254,1537.12427,1
1552.175,1474.306,1
1552.29138,1468.082,1
1552.2948,1379.51379,1
1552.317,1524.77441,1
1552.4303,1417.50415,1
1552.76746,1510.00549,1
1553.57617,1478.95154,1
1553.80249,1549.76428,1
1554.26428,1549.28479,1
1554.45752,1465.58264,1
1554.46863,1594.58557,1
1554.61511,1460.84656,1
1554.986,1481.21057,1
1555.01624,1457.45776,1
1555.21863,1422.78955,1
1555.537,1600.42932,1
1555.58093,1440.4906,1
1555.67249,1543.58887,1
1555.86914,1493.95654,1
1555.902,1456.88257,1
1555.93469,1332.42358,1
1555.96985,1440.23889,1
1556.02368,1561.33008,1
1556.07788,1484.99585,1
1556.39587,1543.64514,1
1556.40063,1432.1853,1
1556.62585,1520.01831,1
1556.70129,1545.79736,1
1556.7207,1554.77893,1
1557.00232,1570.40442,1
1557.03455,1533.46924,1
1557.22974,1390.4613,1
1557.25146,1536.38733,1
1557.48413,1501.06018,1
1557.53833,1516.94275,1
1557.978,1579.07263,1
1558.02136,1443.65747,1
1558.37158,1529.05969,1
1558.86926,1480.49438,1
1558.87183,1413.57275,1
1559.39075,1553.04382,1
1559.452,1577.48523,1
1559.71216,1512.08191,1
1559.939,1608.1626,1
1559.985,1491.13831,1
1560.54163,1500.64063,1
1560.9187,1487.15137,1
1560.94275,1463.02014,1
1561.346,1532.0199,1
1561.35876,1489.20007,1
1561.52173,1546.06165,1
1561.79016,1443.4325,1
1561.81934,1587.90015,1
1561.98352,1452.89978,1
1562.22327,1412.39014,1
1562.26416,1534.78943,1
1562.27881,1428.38525,1
1562.54553,1542.09119,1
1562.57422,1381.32166,1
1562.67175,1411.29114,1
1562.934,1514.43542,1
1563.017,1449.34863,1
1563.11755,1607.11145,1
1563.28235,1521.04944,1
1563.30566,1415.00537,1
1563.571,1465.68091,1
1563.69385,1482.128,1
1563.70459,1597.9209,1
1564.28235,1544.65369,1
1564.439,1598.29724,1
1564.77356,1489.7157,1
1565.04529,1424.28052,1
1565.20959,1280.07556,1
1565.35217,1511.56079,1
1565.76416,1483.42188,1
1565.771,1443.68127,1
1566.052,1428.63147,1
1566.3678,1474.88708,1
1566.37732,1463.82959,1
1566.71838,1559.62866,1
1566.77271,1582.92139,1
1566.79089,1545.28552,1
1567.1366,1508.93054,1
1567.35132,1463.77063,1
1567.6958,1505.51953,1
1567.86853,1532.33911,1
1568.17151,1435.67456,1
1568.20056,1537.92,1
1568.2439,1635.94373,1
1568.63635,1486.85425,1
1568.67444,1637.82666,1
1568.87512,1501.50708,1
1569.04846,1547.14929,1
1569.054,1631.25159,1
1569.07825,1417.7373,1
1569.31445,1527.54211,1
1569.53271,1513.89648,1
1569.59924,1478.12744,1
1569.6084,1458.24426,1
1569.85083,1547.32361,1
1569.85571,1482.184,1
1569.87659,1462.01257,1
1569.923,1481.22766,1
1570.2,1513.97961,1
1570.21716,1483.93628,1
1570.35034,1422.83557,1
1570.35791,1594.22729,1
1570.3844,1554.52148,1
1570.44092,1439.01025,1
1570.58484,1451.02722,1
1571.1012,1477.22314,1
1571.28784,1449.78918,1
1571.33289,1519.67285,1
1571.41187,1455.11316,1
1571.58716,1546.26367,1
1571.62793,1472.45935,1
1571.63708,1491.3374,1
1571.8147,1562.68433,1
1572.047,1454.41638,1
1572.071,1543.48792,1
1572.18176,1552.28467,1
1572.66455,1559.97693,1
1572.97229,1499.66919,1
1573.11438,1499.45679,1
1573.3551,1528.76208,1
1573.61121,1599.04517,1
1573.62878,1486.01013,1
1573.8064,1426.12354,1
1574.05054,1602.88293,1
1574.16772,1500.60425,1
1574.234,1460.84631,1
1574.30664,1510.22656,1
1574.57458,1489.478,1
1574.90564,1471.81641,1
1574.94641,1426.77991,1
1575.21033,1512.734,1
1575.28113,1538.133,1
1575.36426,1519.92053,1
1575.40564,1393.57764,1
1575.56335,1558.149,1
1576.21094,1487.06775,1
1576.2218,1450.49719,1
1576.25708,1476.864,1
1576.2793,1451.74414,1
1576.433,1481.65417,1
1576.45325,1511.9137,1
1576.60742,1571.0481,1
1576.764,1477.33081,1
1576.80261,1558.22656,1
1576.86816,1527.57092,1
1576.9292,1482.1134,1
1577.07983,1587.16235,1
1577.16919,1476.92639,1
1577.69763,1543.26514,1
1577.966,1579.396,1
1577.98584,1447.87317,1
1577.98975,1528.23145,1
1578.04065,1532.79932,1
1578.0603,1507.50818,1
1578.211,1543.028,1
1578.23059,1521.82617,1
1578.3501,1461.61182,1
1578.68091,1481.883,1
1578.7074,1521.44214,1
1578.72363,1493.16162,1
1578.81238,1397.28308,1
1578.98438,1471.25891,1
1579.39685,1524.758,1
1579.76318,1481.5415,1
1579.8186,1491.73486,1
1579.85657,1484.84631,1
1580.18457,1493.6925,1
1580.31677,1535.00623,1
1580.78137,1455.19287,1
1580.82764,1470.92969,1
1580.8877,1492.48889,1
1580.93945,1473.08923,1
1581.05383,1507.7218,1
