Ch1 Amplitude,Ch2 Amplitude,Cluster
407.0591,407.8265,1
467.17865,467.384583,1
535.8043,477.44986,1
545.4568,413.07608,1
552.178345,610.5966,1
813.884033,682.21,1
856.1471,704.1566,1
867.0463,665.8795,1
989.3868,880.291931,1
996.37915,789.7844,1
997.7345,835.098755,1
1038.19165,779.027161,1
1071.5199,854.671265,1
1106.38757,774.456,1
1194.95874,982.990234,1
1315.54993,1641.33179,1
1321.7041,1524.32983,1
1329.57141,1192.26965,1
1360.27673,1549.40491,1
1388.01624,1634.38733,1
1394.65552,1493.64929,1
1398.18237,1548.53882,1
1400.56384,1600.01038,1
1408.01672,1608.35278,1
1409.2,1582.88831,1
1415.39917,1598.61523,1
1417.9436,1597.04944,1
1428.87415,1568.32446,1
1436.028,1478.77869,1
1443.16138,1573.78735,1
1443.88086,1707.56458,1
1459.09314,1466.649,1
1459.09546,1562.75391,1
1463.0979,1464.39807,1
1464.80786,1536.95459,1
1465.16406,1571.13416,1
1468.34253,1503.35828,1
1469.78284,1606.14966,1
1473.78674,1533.09558,1
1474.38147,1487.01233,1
1475.7583,1485.77368,1
1476.39368,1395.69263,1
1478.61865,1476.01514,1
1481.317,1403.4043,1
1484.18958,1696.119,1
1484.24707,1591.84131,1
1484.29626,1524.60413,1
1488.12585,1592.25842,1
1489.60974,1590.87988,1
1490.113,1598.91174,1
1490.34412,1530.90479,1
1491.64111,1610.02026,1
1493.20349,1506.69128,1
1494.1178,1450.87,1
1494.17847,1567.41821,1
1494.40662,1498.84863,1
1495.74658,1467.77075,1
1495.80237,1540.74255,1
1497.04932,1564.28589,1
1498.66528,1433.14087,1
1498.79846,1558.1073,1
1499.21948,1429.00134,1
1499.30042,1477.82007,1
1499.80127,1470.80884,1
1500.28723,1578.93884,1
1500.42981,1577.378,1
1501.48364,1580.79749,1
1502.12122,1580.977,1
1503.04041,1538.4502,1
1503.77869,1443.10779,1
1504.19482,1565.31152,1
1505.06982,1564.39783,1
1506.07117,1555.35449,1
1506.40369,1464.10242,1
1506.40466,1419.70618,1
1508.99048,1491.63782,1
1509.0874,1566.48315,1
1509.567,1539.68823,1
1510.25317,1495.68835,1
1511.62378,1549.1333,1
1511.90137,1710.28711,1
1512.1554,1542.10388,1
1512.15588,1486.92712,1
1512.51367,1587.06274,1
1514.58008,1527.18079,1
1514.59827,1528.72742,1
1515.47717,1613.97388,1
1515.9054,1549.86792,1
1516.06311,1563.08508,1
1516.08008,1471.83472,1
1516.85254,1470.73438,1
1517.0177,1691.40491,1
1518.17554,1601.99841,1
1519.04333,1397.82141,1
1519.53333,1460.71509,1
