Ch1 Amplitude,Ch2 Amplitude,Cluster
351.424469,416.671539,1
453.402954,508.7251,1
461.222076,466.765045,1
463.4693,463.842224,1
482.823273,582.6424,1
494.7463,399.5914,1
501.532959,473.353241,1
503.190216,491.13266,1
511.765656,531.8227,1
515.309143,631.5603,1
517.3093,552.017639,1
525.0592,552.5251,1
525.526367,419.751129,1
525.7351,523.0566,1
527.547668,610.9041,1
533.756836,510.706635,1
536.2323,486.320923,1
536.333,486.7526,1
546.227356,551.336731,1
554.22644,526.309753,1
564.7553,468.215424,1
574.0495,515.579651,1
575.0835,579.099,1
587.36676,517.428162,1
589.622559,567.533447,1
590.650757,576.0951,1
590.802063,645.917358,1
592.5238,564.516,1
594.423,511.740631,1
597.988037,541.9254,1
598.7481,581.485,1
598.9788,1409.80164,1
611.9733,630.427734,1
617.440735,506.1293,1
622.9442,490.1074,1
623.166565,692.8249,1
652.551331,589.2908,1
661.0651,612.2797,1
662.5351,736.7785,1
665.112549,614.3931,1
666.305,720.1121,1
669.1319,619.583862,1
671.3456,623.7007,1
678.8473,711.6151,1
679.297058,672.529663,1
683.308655,593.327,1
683.7928,594.9973,1
692.1825,670.815735,1
693.6515,652.5787,1
694.3042,507.04248,1
696.085144,545.4787,1
699.933,614.941833,1
702.4095,785.7386,1
710.3591,707.244,1
717.4616,527.718567,1
719.18866,560.217041,1
720.0871,729.6661,1
722.106262,663.008,1
724.7472,613.2044,1
737.49646,730.8325,1
743.3267,748.5577,1
744.777161,602.3543,1
755.8087,584.09375,1
766.3584,725.494,1
766.3919,595.0376,1
787.8674,607.5182,1
788.4331,721.5809,1
789.977844,786.194946,1
791.4342,641.2509,1
791.617859,708.3406,1
795.979,619.755066,1
797.657166,713.829956,1
800.5565,769.746643,1
807.6466,1785.77454,1
820.9233,727.9123,1
822.0026,706.547852,1
825.446167,917.7526,1
829.3758,665.1517,1
832.9137,833.7058,1
836.7826,669.3748,1
849.111755,679.719849,1
864.616,861.234436,1
870.814758,791.252563,1
886.154846,713.661255,1
889.573853,914.1664,1
890.342834,813.2942,1
894.8091,640.987244,1
896.4905,672.866943,1
905.9953,715.0482,1
917.256348,758.0211,1
918.795,847.7826,1
920.7728,838.187256,1
922.835754,681.3112,1
924.4424,711.8207,1
927.4925,752.872742,1
928.420959,993.9446,1
928.8728,896.0226,1
932.8765,768.59,1
937.2424,894.052063,1
939.404663,1827.183,1
941.4594,632.6217,1
947.185547,859.9075,1
947.26825,827.7007,1
948.1077,804.711853,1
949.5289,896.7822,1
952.5642,869.5104,1
956.564758,946.2835,1
963.531433,924.803162,1
968.2754,742.643433,1
970.677551,1094.525,1
976.141663,718.777,1
980.1907,859.441,1
980.9581,910.195862,1
1007.6438,761.2619,1
1013.36542,978.0762,1
1015.252,762.9553,1
1017.32928,885.6521,1
1023.63116,907.1441,1
1027.711,895.8891,1
1030.75928,1046.27747,1
1031.37427,895.5323,1
1034.46375,855.1701,1
1035.72559,913.224854,1
1043.35571,905.1848,1
1045.96606,1041.75671,1
1050.70557,2262.479,4
1064.64148,1020.48749,1
1065.127,883.0218,1
1065.63586,856.165,1
1067.16931,935.148,1
1080.18286,1042.797,1
1082.06885,802.101868,1
1088.22986,910.8252,1
1088.27856,929.7165,1
1094.53247,931.598267,1
1096.26624,960.799133,1
1099.2583,817.6051,1
1099.53906,874.1361,1
1102.21179,1023.24017,1
1105.51807,919.5199,1
1109.12244,1057.38391,1
1113.811,988.5763,1
1122.54272,2517.40479,4
1123.35461,983.6605,1
1125.15588,1027.38281,1
1134.08325,979.486,1
1137.87622,867.1947,1
1138.12036,1026.0769,1
1147.41211,1389.40149,1
1151.27881,925.6501,1
1153.83069,1029.233,1
1161.34753,1021.28815,1
1162.10889,981.6503,1
1165.049,971.373535,1
1167.83643,2329.64624,4
1167.959,1039.269,1
1170.23413,965.1453,1
1182.0166,1727.998,1
1190.71875,2440.27271,4
1201.16785,2146.417,4
1208.85059,1098.91223,1
1211.55994,916.0169,1
1222.55688,991.1944,1
1226.53723,859.8728,1
1250.56335,1075.3186,1
1273.51379,1577.593,1
1282.50049,1143.78857,1
1285.50586,1092.45789,1
1287.90491,1560.4967,1
1288.28638,1176.46191,1
1298.56982,1187.20251,1
1306.91113,1375.43176,1
1307.8429,1174.93738,1
1308.10559,1106.1759,1
1317.82788,1407.1062,1
1320.907,1125.47754,1
1322.94873,1111.092,1
1325.07446,1565.44958,1
1327.83691,1450.77,1
1329.66382,961.4145,1
1340.39636,1244.67529,1
1340.86108,1382.23413,1
1342.065,1507.90881,1
1343.39673,1435.332,1
1347.056,1143.5426,1
1347.88818,1518.84863,1
1348.88879,1521.54041,1
1350.44055,1176.87488,1
1352.77686,1651.0437,1
1354.399,1228.76025,1
1354.56274,1584.31372,1
1359.25476,1570.12231,1
1361.83765,1516.14526,1
1362.14722,1151.81433,1
1364.8551,1238.44226,1
1364.93738,1587.52051,1
1367.26172,1269.08655,1
1367.60266,1203.00366,1
1368.73889,1523.54968,1
1369.18652,1599.91687,1
1370.40845,1515.57568,1
1372.74219,1395.053,1
1373.636,1188.89734,1
1373.82471,1442.98364,1
1376.33655,1593.15576,1
1377.323,1546.19165,1
1379.66565,1494.139,1
1380.25293,1730.91113,1
1381.33911,1412.13013,1
1381.94873,1149.93811,1
1384.97729,1562.69507,1
1385.03271,1472.81555,1
1386.6344,1174.69238,1
1387.24219,1417.569,1
1387.73621,1489.61023,1
1388.28223,1542.78979,1
1388.414,1168.99207,1
1389.56165,1440.885,1
1389.76746,1305.19873,1
1391.61182,1271.13269,1
1392.6283,1190.31592,1
1393.69983,1391.42566,1
1395.18091,1560.46521,1
1396.49438,1471.9541,1
1398.56653,1174.4613,1
1399.69727,1572.27527,1
1400.50061,1184.38965,1
1401.14551,2164.31885,4
1401.73389,1553.72961,1
1403.13525,2965.84741,4
1403.77722,1400.7406,1
1404.09949,1165.96118,1
1404.18933,1522.10571,1
1405.29419,1194.60571,1
1406.19238,1456.52893,1
1406.88318,1272.25781,1
1407.34741,1477.50452,1
1409.178,1502.00366,1
1409.90833,1298.45313,1
1412.16187,3129.93018,4
1413.32129,1509.20679,1
1414.46057,1338.40918,1
1415.009,1300.36279,1
1415.80188,1476.65332,1
1417.11047,1124.14063,1
1417.35327,1050.87817,1
1417.57861,1487.85889,1
1418.8009,1456.34631,1
1419.42883,1362.15393,1
1421.07324,1253.40344,1
1422.75916,1541.46826,1
1423.16382,1310.26453,1
1424.56873,1102.53394,1
1424.966,1433.4397,1
1426.94385,1371.17151,1
1427.06409,1504.34009,1
1427.623,1572.651,1
1428.07007,1530.22937,1
1428.63867,2415.77979,4
1430.55933,1063.87427,1
1431.82288,1405.206,1
1432.12207,1497.47437,1
1432.29626,1454.696,1
1432.846,1570.67371,1
1434.108,1445.5553,1
1436.23059,3199.47314,4
1436.61121,1526.692,1
1436.7688,1556.13928,1
1438.85315,1420.32312,1
1439.62976,1482.545,1
1440.54224,1651.32813,1
1446.17883,1355.59534,1
1446.5199,1559.90271,1
1446.89319,1489.89185,1
1448.073,1331.67859,1
1448.14941,1502.09607,1
1448.913,1488.00989,1
1448.91553,1318.80591,1
1449.83508,1514.63562,1
1451.10107,1419.45862,1
1453.00159,1385.05725,1
1455.02686,1478.827,1
1456.57361,1435.21887,1
1457.41455,1489.00134,1
1458.09106,1370.2832,1
1458.666,1447.40564,1
1459.15222,1192.50769,1
1459.26,2676.297,4
1459.30444,1332.23254,1
1460.54224,1489.15857,1
1461.94824,1467.092,1
1462.0387,1411.02893,1
1462.82922,1174.15112,1
1463.23376,1466.71777,1
1464.61621,1536.56555,1
1465.19043,1575.33618,1
1466.04358,1500.47644,1
1468.8595,1513.928,1
1469.38611,1393.3291,1
1469.8728,2758.06787,4
1469.89343,1581.80579,1
1470.00562,1433.21033,1
1470.20776,1443.86963,1
1470.37378,1589.24622,1
1471.26038,1677.29163,1
1473.49829,1311.72681,1
1473.72107,1459.83508,1
1474.314,1468.81982,1
1474.51489,1363.14136,1
1474.52759,1560.94482,1
1475.76855,1374.93616,1
1476.09729,1505.86511,1
1476.63037,1509.78955,1
1476.903,1449.26233,1
1478.26074,1427.40967,1
1479.1803,1396.57251,1
1480.16711,1450.9585,1
1480.64758,1351.811,1
1481.44885,1524.02112,1
1482.01831,1252.20886,1
1482.1073,1578.43274,1
1482.254,1476.16406,1
1482.42383,1521.94531,1
1482.633,1458.229,1
1482.78662,1457.07178,1
1482.85535,1516.27893,1
1483.03052,1554.66406,1
1483.2002,1483.49609,1
1484.13916,1504.9303,1
1484.29407,1541.77307,1
1484.43579,1462.81335,1
1484.56128,1465.92969,1
1485.36768,1445.3728,1
1485.91113,1544.225,1
1485.923,1392.71375,1
1485.9469,1575.35742,1
1486.235,1412.51233,1
1486.309,1529.134,1
1486.83618,1427.95337,1
1487.22754,1481.26782,1
1487.22876,1420.09229,1
1487.53271,1562.24023,1
1487.7843,1362.4436,1
1487.99768,1582.00574,1
1488.41492,1483.76038,1
1488.533,1301.835,1
1488.54773,1567.4342,1
1488.62671,1527.22913,1
1488.647,1527.50342,1
1488.88171,1507.3114,1
1489.06116,1423.83752,1
1489.07556,1438.483,1
1489.24182,1454.02966,1
1489.36084,1481.87024,1
1489.40234,1441.12927,1
1489.82239,1652.48413,1
1490.776,1553.92236,1
1491.34387,1606.42908,1
1491.42578,1489.0918,1
1491.96,1317.78088,1
1492.97009,1484.61169,1
1493.05151,1555.993,1
1493.305,1531.29883,1
1493.64685,1487.76733,1
1493.94336,1429.70886,1
1494.56824,1479.41711,1
1494.96265,1487.78381,1
1495.00232,1502.54126,1
1495.028,1411.40247,1
1495.09143,1577.64807,1
1495.14319,1283.98035,1
1495.31934,1459.90039,1
1495.41089,1499.67322,1
1495.72034,1479.69446,1
1496.01575,1580.46045,1
1496.2417,1391.308,1
1496.60352,1508.458,1
1496.75,1491.25122,1
1497.30566,1492.81421,1
1497.32031,1442.379,1
1497.375,1595.83252,1
1498.384,1178.53247,1
1499.03345,1496.01636,1
1499.45618,1440.914,1
1499.51123,1446.68787,1
1499.54565,1476.00183,1
1499.73657,1524.75574,1
1499.74268,1314.61658,1
1499.74585,1546.33069,1
1500.17346,1364.974,1
1500.54663,1477.09656,1
1500.87451,1442.483,1
1500.90393,1516.8103,1
1501.21033,1501.86023,1
1501.33252,1561.96167,1
1501.38843,1444.30688,1
1501.6958,1493.20483,1
1501.80432,1368.39722,1
1502.4,1546.07288,1
1502.44287,1354.72571,1
1502.4679,1401.62561,1
