# frequency of CD56-positive events in each of the tSNE clusters and in each donor (row)
donor,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
015,8.1,7.8,5.0,3.8,3.73,3.13,7.3,8.57,8.4,0.0,0.0,0.0,7.03,6.73,9.6,2.37,9.57,9.07
016,3.79,10.1,11.1,9.75,7.36,6.5,6.93,0.43,7.64,0.0,0.0,0.0,21.8,9.07,0.75,0.61,1.93,2.64
017,4.23,6.5,7.07,6.2,10.7,8.33,6.2,2.63,13.0,1.6,3.57,1.63,15.7,6.97,0.67,1.0,1.77,2.8
018,9.5,6.37,11.7,9.3,5.5,17.3,6.64,0.2,6.24,2.77,9.44,1.67,6.17,3.3,0.63,0.3,0.37,2.8
019,2.43,2.77,1.43,7.3,12.0,6.87,9.8,1.7,4.0,12.7,14.5,4.03,2.07,0.3,2.97,0.4,0.73,13.8
020,2.03,2.7,1.17,2.7,2.6,6.37,8.13,8.0,3.0,0.63,1.73,2.67,3.7,2.67,13.2,6.83,14.5,17.4
021,1.27,2.67,2.67,2.0,1.6,4.43,2.67,1.3,7.2,2.27,6.94,7.77,19.0,22.3,1.97,3.2,5.24,5.6
022,1.17,0.97,0.033,0.9,1.7,9.61,3.44,2.04,8.64,3.04,4.84,10.3,7.11,10.4,1.47,5.74,6.17,22.5
023,1.57,1.17,0.67,2.1,5.74,9.37,6.5,19.4,15.5,2.63,1.8,7.1,4.53,6.77,0.7,3.97,7.97,2.8
024,3.93,13.2,9.67,4.4,8.0,4.8,4.03,1.5,5.1,0.0,0.0,0.0,7.7,0.97,0.033,3.6,17.4,16.6
025,3.27,3.1,0.97,0.93,1.03,2.73,4.93,0.8,1.87,2.63,8.63,7.77,3.13,5.73,6.43,21.8,20.1,4.23
026,2.07,4.07,3.47,5.6,5.4,11.2,6.53,0.6,2.8,2.7,13.6,16.4,3.17,1.3,3.0,11.9,1.67,4.23
027,1.3,3.71,4.58,5.09,4.88,8.56,6.02,2.17,6.52,0.0,0.0,0.0,14.5,9.94,9.94,5.62,9.84,7.19
028,3.77,6.04,6.9,4.3,7.44,7.24,10.1,6.3,10.8,1.7,3.67,1.87,6.74,4.43,3.0,3.27,9.04,3.77
029,9.5,7.27,5.13,2.4,2.8,5.77,5.0,0.87,7.13,0.0,0.033,0.0,9.7,5.8,10.9,4.6,9.97,13.4
030,4.53,12.5,4.73,1.8,1.93,2.27,5.8,0.5,1.2,0.8,6.0,0.83,5.9,3.67,14.9,8.7,17.5,6.63
031,2.67,5.43,7.27,3.67,2.13,4.53,5.47,8.2,8.37,0.53,1.93,0.93,6.57,10.4,0.7,9.0,17.2,4.8
032,2.9,1.27,1.4,1.37,2.4,2.23,3.67,2.53,29.9,0.33,0.73,0.57,33.7,0.53,2.7,1.73,8.23,4.3
033,2.63,2.07,4.47,9.13,10.7,10.6,10.9,4.83,8.17,2.5,1.97,7.7,3.37,3.13,5.77,2.97,7.0,2.37
034,4.47,7.0,5.8,2.3,3.63,3.57,7.67,2.47,8.8,0.33,2.6,3.83,11.0,4.53,13.1,2.6,7.1,9.57
035,4.8,4.73,3.03,4.7,3.0,8.03,4.9,0.17,4.13,6.8,26.3,7.0,6.23,10.4,0.57,1.23,3.57,0.97
036,1.47,3.73,4.27,6.3,14.5,16.0,7.1,4.43,10.0,3.47,3.4,2.1,4.67,5.7,1.07,3.97,5.0,3.3
037,7.47,8.6,10.4,9.0,13.3,4.23,9.13,0.97,10.6,1.13,3.2,0.3,12.6,2.87,0.4,0.93,3.27,2.33
038,5.77,14.8,12.1,5.8,7.64,9.44,5.6,0.97,2.1,0.0,0.0,0.0,5.1,6.04,1.17,6.87,13.3,3.7
039,2.5,5.64,5.24,4.8,8.4,7.0,6.17,3.07,14.0,2.5,6.17,5.7,8.87,4.77,4.27,4.17,4.13,3.07
040,6.77,7.3,1.47,2.57,5.87,4.8,8.3,3.2,5.13,5.33,14.6,6.87,11.3,4.23,0.33,1.9,7.53,2.4
041,5.4,5.04,9.3,2.97,2.03,3.57,5.4,2.2,10.1,0.23,0.63,0.2,18.9,17.3,1.4,6.17,5.8,3.73
042,10.3,8.07,5.77,5.4,8.4,6.07,10.7,3.27,8.13,1.83,4.2,1.5,11.9,3.53,0.7,2.3,4.43,3.87
043,3.0,1.73,1.87,6.0,9.93,15.0,15.7,2.17,11.5,10.1,5.93,4.27,5.23,2.23,1.17,1.0,1.13,2.2
044,5.73,8.03,5.2,6.1,6.23,8.17,6.03,0.4,5.8,4.53,9.93,1.27,5.67,6.9,5.1,6.47,3.47,5.13
